primary key, precinct, population, polygon type
"1008", "George", "93.0", "MultiPolygon"
"1011", "Aberdeen Ward 1 Pct 1", "645.0", "MultiPolygon"
"1019", "Sierra", "0.0", "Polygon"
"1028", "McCleary Rural", "794.0", "MultiPolygon"
"1040", "Calder", "871.0", "MultiPolygon"
"1046", "Montesano 606", "0.0", "MultiPolygon"
"1047", "Water: Pacific Ocean Leg 19", "0.0", "Polygon"
"1048", "Water: Pacific Ocean Leg 24", "0.0", "Polygon"
"1049", "Water: Grays Harbor Leg 24", "0.0", "Polygon"
"1050", "Water: Grays Harbor Leg 19", "0.0", "MultiPolygon"
"1058", "Montesano 605", "499.0", "MultiPolygon"
"1060", "Montesano 603", "0.0", "MultiPolygon"
"1070", "Elma 303", "636.0", "MultiPolygon"
"1071", "Elma 302", "411.0", "MultiPolygon"
"1081", "Aberdeen Ward 3 Pct 1", "449.0", "MultiPolygon"
"1113", "Ault", "587.114", "MultiPolygon"
"1117", "Oak Harbor 15", "849.272", "MultiPolygon"
"1130", "Fort Nugent", "505.377", "MultiPolygon"
"1134", "Scenic Heights", "296.049", "MultiPolygon"
"1148", "Water: Strait of Juan de Fuca", "0.0", "Polygon"
"1150", "Water: Admiralty Bay", "0.0", "Polygon"
"1151", "Water: Saratoga Passage", "0.0", "Polygon"
"1152", "Water: Holmes Harbor", "0.0", "Polygon"
"1153", "Water: Puget Sound", "0.0", "Polygon"
"1154", "Water: Skagit Bay", "0.0", "Polygon"
"1155", "Water: Port Susan", "0.0", "Polygon"
"1156", "Water: Crescent Harbor", "0.0", "Polygon"
"1157", "Water: Oak Harbor", "0.0", "Polygon"
"1158", "Water: Penn Cove", "0.0", "Polygon"
"1159", "Water: Possession Sound", "0.0", "Polygon"
"1180", "Water: Pacific Ocean", "0.0", "Polygon"
"1181", "Water: Quilcene Bay", "0.0", "Polygon"
"1182", "Water: Hood Canal", "0.0", "Polygon"
"1183", "Water: Oak Bay", "0.0", "Polygon"
"1184", "Water: Port Townsend Bay", "0.0", "Polygon"
"1185", "Water: Admiralty Inlet", "0.0", "Polygon"
"1186", "Water: Discovery Bay", "0.0", "Polygon"
"1187", "Water: Dabob Bay", "0.0", "Polygon"
"1188", "Water: Strait of Juan de Fuca", "0.0", "Polygon"
"1189", "601", "106.0", "MultiPolygon"
"1194", "401", "741.0", "MultiPolygon"
"1197", "303", "1560.0", "MultiPolygon"
"1214", "101", "172.0", "MultiPolygon"
"1229", "FED 30-3089", "116.0", "MultiPolygon"
"1230", "Westwood", "0.0", "Polygon"
"1314", "Rainier", "59.0", "MultiPolygon"
"1381", "KEN 05-3462", "0.0", "Polygon"
"1385", "Phoebe", "33.0", "MultiPolygon"
"1467", "Eastwood", "553.0", "MultiPolygon"
"1554", "Cypress", "0.0", "Polygon"
"1905", "Jutland", "518.422", "MultiPolygon"
"1969", "Cougar Mtn", "139.0", "MultiPolygon"
"2019", "White River", "655.0", "MultiPolygon"
"2025", "Stacy", "169.0", "MultiPolygon"
"2026", "KEN 33-0596", "549.0", "MultiPolygon"
"2029", "KEN 47-3352", "0.0", "Polygon"
