primary key, precinct, population, polygon type
"5132", "Coho", "370.0", "MultiPolygon"
"5144", "Hunt", "19.0", "MultiPolygon"
"5164", "Kingman", "476.0", "MultiPolygon"
"5251", "Marsh", "640.0", "MultiPolygon"
"5270", "Brier 6", "313.0", "MultiPolygon"
"5287", "Marion", "476.0", "MultiPolygon"
"5320", "Monroe Reservoir", "0.0", "Polygon"
"5321", "Marysville Well Site", "0.0", "Polygon"
"5322", "Stanwood Well Site", "0.0", "MultiPolygon"
"5324", "Arlington Reservoir", "0.0", "Polygon"
"5327", "Tambark", "0.0", "Polygon"
"5352", "Hartford", "296.0", "MultiPolygon"
"5361", "Everett 1", "515.0", "MultiPolygon"
"5377", "Woods Creek", "481.0", "MultiPolygon"
"5384", "Robinhood", "442.0", "MultiPolygon"
"5391", "Mountlake Terrace 8", "627.0", "MultiPolygon"
"5444", "Gold Bar 2", "509.0", "MultiPolygon"
"5454", "Bothell 32", "474.0", "MultiPolygon"
"5483", "Monroe 9", "632.0", "MultiPolygon"
"5536", "Monroe 2", "596.0", "MultiPolygon"
"5558", "Arlington 10", "818.0", "MultiPolygon"
"5617", "Timber", "11.7999", "MultiPolygon"
"5623", "Peak", "26.0", "MultiPolygon"
"5629", "Glen Acres", "0.0", "Polygon"
"5631", "Mill Creek 14", "26.0", "MultiPolygon"
"5634", "Mill Creek 11", "408.863", "MultiPolygon"
"5656", "Edmonds 19", "770.0", "MultiPolygon"
"5660", "Aldercrest", "413.0", "MultiPolygon"
"5662", "Airpark", "142.0", "MultiPolygon"
"5665", "Terrace", "142.0", "MultiPolygon"
"5679", "Mill Creek 7", "43.0", "MultiPolygon"
"5685", "Lost Lake", "563.0", "MultiPolygon"
"5712", "Dogwood", "0.0", "Polygon"
"5724", "Water: Puget Sound Leg 32", "0.0", "Polygon"
"5748", "Everett 58", "83.0", "MultiPolygon"
"5756", "Sofie", "307.105", "MultiPolygon"
"5760", "Water: Puget Sound - City of Woodway", "0.0", "Polygon"
"5761", "Water: Puget Sound Leg 21", "0.0", "MultiPolygon"
"5762", "Water: Puget Sound - City of Edmonds", "0.0", "Polygon"
"5763", "Water: Possession Sound - City of Mukilteo", "0.0", "Polygon"
"5764", "Water: Possession Sound - City of Everett", "0.0", "Polygon"
"5765", "Water: Possession Sound", "0.0", "Polygon"
"5766", "Water: Tulalip Bay", "0.0", "Polygon"
"5808", "Water: Port Susan", "0.0", "Polygon"
"5809", "Water: Skagit Bay", "0.0", "Polygon"
"5810", "Water: Lake Stevens", "0.0", "Polygon"
"5811", "Snohomish 6", "317.0", "MultiPolygon"
"5821", "Spencer", "2.0", "MultiPolygon"
"5827", "Tank Farm", "0.0", "Polygon"
"5828", "Sultan Water Site", "0.0", "Polygon"
"5829", "Snohomish River", "0.0", "Polygon"
"5830", "Nile", "0.0", "Polygon"
"5831", "Monroe Fire Station", "0.0", "Polygon"
"5832", "Marysville Well Site", "0.0", "Polygon"
"5853", "Dubuque", "558.0", "MultiPolygon"
"5859", "Perrinville", "0.0", "Polygon"
"5869", "Lynnwood Sewer Treatment", "0.0", "Polygon"
"5870", "Everett Watershed", "0.0", "MultiPolygon"
"5871", "Everett Watershed", "0.0", "MultiPolygon"
"5872", "Airport", "0.0", "Polygon"
"5936", "6400", "647.0", "MultiPolygon"
"5954", "4443", "0.0", "Polygon"
"5968", "4100", "2.0", "MultiPolygon"
"6054", "6026", "553.0", "MultiPolygon"
"6100", "9700", "278.0", "MultiPolygon"
"6191", "Quartzite 2", "429.0", "MultiPolygon"
"6193", "Meyers Falls 2", "751.0", "MultiPolygon"
"6194", "Meyers Falls 1", "480.0", "MultiPolygon"
"6276", "Olympia 48", "770.0", "MultiPolygon"
"6297", "Tenino 2", "432.0", "MultiPolygon"
"6307", "Tumwater 19", "0.0", "Polygon"
"6310", "Tumwater 15", "743.0", "MultiPolygon"
"6323", "Tumwater 2", "525.0", "MultiPolygon"
"6325", "Lacey 50", "0.0", "Polygon"
"6373", "Yelm 3", "666.0", "MultiPolygon"
"6376", "Water: Totten Inlet", "0.0", "Polygon"
"6377", "Water: Squaxin Passage", "0.0", "Polygon"
"6378", "Water: Puget Sound Leg 35", "0.0", "Polygon"
"6379", "Water: Eld Inlet Leg 35", "0.0", "Polygon"
"6413", "Simmons 4", "34.0", "MultiPolygon"
"6414", "Simmons 3", "31.0", "MultiPolygon"
"6416", "Quince", "4.0", "MultiPolygon"
"6423", "Water: Young Cove", "0.0", "Polygon"
"6424", "Water: Mud Bay", "0.0", "Polygon"
"6425", "Water: Eld Inlet Leg 22", "0.0", "Polygon"
"6426", "Water: Green Cove", "0.0", "Polygon"
"6427", "Water: Budd Inlet Con 3", "0.0", "Polygon"
"6428", "Water: Tykle Cove", "0.0", "Polygon"
"6429", "Water: Butler Cove", "0.0", "Polygon"
"6430", "Water: Gull Harbor", "0.0", "Polygon"
"6431", "Water: Budd Inlet Con 9", "0.0", "MultiPolygon"
"6432", "Water: Puget Sound Con 3", "0.0", "Polygon"
"6433", "Water: Dogfish Bight", "0.0", "Polygon"
"6434", "Water: Puget Sound Con 9", "0.0", "Polygon"
"6472", "Water: Henderson Inlet", "0.0", "Polygon"
"6473", "Water: Nisqually Reach", "0.0", "Polygon"
"6485", "South Union", "943.0", "MultiPolygon"
"6488", "Bush Prairie", "162.0", "MultiPolygon"
"6508", "Steamboat Island", "452.0", "MultiPolygon"
"6536", "Jones Beach", "320.0", "MultiPolygon"
"6558", "North Cathlamet", "111.0", "MultiPolygon"
"6561", "South Cathlamet", "246.0", "MultiPolygon"
"6566", "Blalock", "730.0", "MultiPolygon"
"6568", "CP 3", "686.0", "MultiPolygon"
"6569", "Twin Grove", "401.0", "MultiPolygon"
"6573", "Derry", "196.0", "MultiPolygon"
"6575", "Gose", "167.0", "MultiPolygon"
"6576", "Garrison", "416.0", "MultiPolygon"
"6577", "Pine", "566.0", "MultiPolygon"
"6579", "Jefferson", "898.0", "MultiPolygon"
"6583", "Braden", "709.0", "MultiPolygon"
"6590", "Pleasant", "885.0", "MultiPolygon"
"6603", "Spruce", "524.0", "MultiPolygon"
"6604", "Yellowhawk", "68.0", "MultiPolygon"
"6608", "Baker", "159.0", "MultiPolygon"
"6613", "Prescott", "159.0", "MultiPolygon"
"6649", "122", "785.0", "MultiPolygon"
"6650", "121", "870.0", "MultiPolygon"
"6668", "103", "1274.0", "MultiPolygon"
"6672", "157", "0.0", "Polygon"
"6673", "Water: Birch Bay", "0.0", "Polygon"
"6674", "Water: Semiahmoo Bay", "0.0", "Polygon"
"6675", "Water: Lummi Bay", "0.0", "Polygon"
"6676", "Water: Hale Passage", "0.0", "Polygon"
"6677", "Water: Strait of Georgia", "0.0", "Polygon"
"6678", "Water: Rosario Strait", "0.0", "Polygon"
"6679", "Water: Portage Bay", "0.0", "Polygon"
"6680", "Water: Bellingham Bay Leg 42", "0.0", "Polygon"
"6681", "Water: Bellingham Bay Leg 40", "0.0", "Polygon"
"6682", "Water: Bellingham Bay - Bellingham Leg 42", "0.0", "MultiPolygon"
"6683", "Water: Bellingham Bay - Bellingham Leg 40", "0.0", "MultiPolygon"
"6684", "Water: Drayton Harbor", "0.0", "Polygon"
"6685", "Water: Blaine", "0.0", "MultiPolygon"
"6686", "Mount Baker National Forest Leg 42", "0.0", "Polygon"
"6687", "Mount Baker National Forest Leg 39", "0.0", "MultiPolygon"
"6688", "North Cascades National Park", "0.0", "MultiPolygon"
"6689", "Ross Lake National Recreation Area", "0.0", "Polygon"
"6690", "Water: Lake Whatcom - Bellingham", "0.0", "Polygon"
"6691", "Water: Lake Whatcom", "0.0", "Polygon"
"6692", "US Customs Highway Crossing", "0.0", "Polygon"
"6755", "Blaine 302", "932.0", "MultiPolygon"
"6758", "155", "585.0", "MultiPolygon"
"6763", "150", "1160.0", "MultiPolygon"
"6771", "North Colfax", "209.0", "MultiPolygon"
"6772", "South Colfax", "394.0", "MultiPolygon"
"6777", "South Pullman", "702.0", "MultiPolygon"
"6815", "Thornton", "108.0", "MultiPolygon"
"6828", "Toppenish 2103", "994.0", "MultiPolygon"
"6836", "Grandview 0", "0.0", "Polygon"
"6844", "Grandview 303", "714.0", "MultiPolygon"
"6846", "Belma", "1080.0", "MultiPolygon"
"6849", "Crescent", "15.0", "MultiPolygon"
"6859", "E Zillah", "1168.0", "MultiPolygon"
"6867", "Fairview", "0.0", "MultiPolygon"
"6871", "Wanapum", "0.0", "Polygon"
"6882", "Gleed", "1166.0", "MultiPolygon"
"6883", "Westview", "180.0", "MultiPolygon"
"6887", "White Swan", "989.0", "Polygon"
"6913", "Selah 1506", "0.0", "Polygon"
"6914", "Sunnyside 1704", "0.0", "Polygon"
